"value","name"
"#660000","dark red"
"#980000","maroon"
"#e32636","crimson"
"#ff0000","red"
"#fa624d","coral"
"#cf5352","indian red"
"#cb837f","salmon"
"#de6318","red orange"
"#ff7f00","dark orange"
"#ffa000","orange"
"#ffc549","yellow orange"
"#ffc898","peach"
"#d3d100","yellow green"
"#eed54f","mustard"
"#ffff00","yellow"
"#ffff6d","lemon"
"#ffffae","light yellow"
"#8c8c00","army green"
"#8c8c31","olive"
"#8c8c62","dark khaki"
"#778c62","sage"
"#88ba41","olive drab"
"#96d28a","sea green"
"#77f6a7","spring green"
"#b2ffb2","light green"
"#293206","hunter green"
"#006700","dark green"
"#00ae00","green"
"#00ff00","lime"
"#a9ff00","chartreuse"
"#bdd6bd","honeydew"
"#d8ffb2","pale green"
"#205260","dark slate gray"
"#62778c","slate gray"
"#628c8c","cadet blue"
"#318c8c","teal"
"#8cbcbd","powder blue"
"#b2ffff","pale blue"
"#65f3c9","aquamarine"
"#00ffff","aqua"
"#34e3e5","turquoise"
"#1c0946","midnight blue"
"#31318c","navy"
"#1f07b0","dark blue"
"#0000ff","blue"
"#4a73bd","royal blue"
"#589ad5","steel blue"
"#a1c4e9","light blue"
"#46008c","indigo"
"#5e318c","dark slate blue"
"#7f00ff","blue violet"
"#77628c","medium purple"
"#ac59ff","amethyst"
"#a297e9","lavender"
"#33151a","eggplant"
"#520f41","dark purple"
"#840e47","red violet"
"#8c008c","purple"
"#8c6277","plum"
"#c6a5b6","thistle"
"#e8d1ff","lavender"
"#ff00ff","fuchsia"
"#ff59ac","dark pink"
"#e30e5c","deep pink"
"#ef8cae","pink"
"#ffb2ff","light violet"
"#ead0cd","pale pink"
"#ffdfef","light pink"
"#3d1f00","dark brown"
"#5e1800","brick red"
"#724120","brown"
"#8c4600","sienna"
"#8c5e31","saddle brown"
"#8c7762","rosy brown"
"#c69c7b","tan"
"#8e7032","dark goldenrod"
"#bf9c3b","goldenrod"
"#d1b45b","light goldenrod"
"#daca7a","wheat"
"#e2db9a","khaki"
"#000000","black"
"#505050","dim gray"
"#828283","dark gray"
"#b5b5b6","gray"
"#e7e7e7","light gray"
"#ffffff","white"
